-181.387, 35.872, 5.797, 14.569
-181.388, 35.678, 5.822, 14.602
-181.388, 35.483, 5.849, 14.635
-181.388, 35.287, 5.875, 14.668
-181.388, 35.091, 5.900, 14.701
-181.388, 34.893, 5.925, 14.734
-181.388, 34.695, 5.950, 14.767
-181.388, 34.496, 5.973, 14.800
-181.388, 34.296, 5.995, 14.833
-181.388, 34.096, 6.015, 14.866
-181.388, 33.895, 6.035, 14.899
-181.388, 33.693, 6.054, 14.932
-181.388, 33.491, 6.072, 14.965
-181.388, 33.288, 6.089, 14.998
-181.388, 33.085, 6.106, 15.031
-181.388, 32.881, 6.124, 15.064
-181.388, 32.676, 6.141, 15.097
-181.388, 32.471, 6.158, 15.130
-181.388, 32.265, 6.176, 15.163
-181.388, 32.059, 6.194, 15.196
-181.388, 31.852, 6.214, 15.229
-181.388, 31.644, 6.233, 15.262
-181.388, 31.436, 6.254, 15.295
-181.388, 31.227, 6.275, 15.328
-181.388, 31.017, 6.297, 15.361
-181.388, 30.806, 6.319, 15.394
-181.388, 30.595, 6.342, 15.427
-181.388, 30.383, 6.365, 15.460
-181.387, 30.170, 6.388, 15.493
-181.387, 29.957, 6.412, 15.526
-181.387, 29.742, 6.435, 15.559
-181.387, 29.527, 6.458, 15.592
-181.387, 29.311, 6.481, 15.625
-181.387, 29.094, 6.503, 15.658
-181.387, 28.877, 6.525, 15.691
-181.386, 28.659, 6.547, 15.724
-181.386, 28.440, 6.569, 15.757
-181.386, 28.220, 6.591, 15.790
-181.386, 28.000, 6.612, 15.823
-181.386, 27.779, 6.633, 15.856
-181.385, 27.557, 6.655, 15.889
-181.385, 27.335, 6.676, 15.922
-181.385, 27.112, 6.697, 15.955
-181.385, 26.888, 6.719, 15.988
-181.385, 26.664, 6.741, 16.021
-181.384, 26.438, 6.763, 16.054
-181.384, 26.212, 6.785, 16.087
-181.384, 25.985, 6.807, 16.120
-181.384, 25.758, 6.830, 16.153
-181.383, 25.530, 6.852, 16.186
-181.383, 25.301, 6.875, 16.219
-181.383, 25.071, 6.898, 16.252
-181.383, 24.840, 6.921, 16.285
-181.382, 24.609, 6.944, 16.318
-181.382, 24.377, 6.967, 16.351
-181.382, 24.144, 6.990, 16.384
-181.381, 23.910, 7.014, 16.417
-181.381, 23.676, 7.037, 16.450
-181.381, 23.441, 7.061, 16.483
-181.381, 23.205, 7.084, 16.516
-181.380, 22.968, 7.108, 16.549
-181.380, 22.730, 7.132, 16.582
-181.380, 22.492, 7.155, 16.615
-181.379, 22.253, 7.179, 16.648
-181.379, 22.013, 7.203, 16.681
-181.378, 21.772, 7.227, 16.714
-181.378, 21.530, 7.251, 16.747
-181.378, 21.288, 7.275, 16.780
-181.377, 21.045, 7.299, 16.813
-181.377, 20.801, 7.324, 16.846
-181.377, 20.556, 7.348, 16.879
-181.376, 20.311, 7.372, 16.912
-181.376, 20.064, 7.397, 16.945
-181.375, 19.817, 7.422, 16.978
-181.375, 19.569, 7.446, 17.011
-181.375, 19.320, 7.471, 17.044
-181.374, 19.070, 7.496, 17.077
-181.374, 18.820, 7.521, 17.110
-181.373, 18.569, 7.546, 17.143
-181.373, 18.316, 7.570, 17.176
-181.372, 18.063, 7.595, 17.209
-181.372, 17.810, 7.620, 17.242
-181.372, 17.555, 7.645, 17.275
-181.371, 17.300, 7.670, 17.308
-181.371, 17.043, 7.695, 17.341
-181.370, 16.786, 7.720, 17.374
-181.370, 16.528, 7.746, 17.407
-181.369, 16.269, 7.771, 17.440
-181.369, 16.010, 7.796, 17.473
-181.368, 15.749, 7.822, 17.506
-181.368, 15.488, 7.848, 17.539
-181.367, 15.225, 7.874, 17.572
-181.367, 14.962, 7.900, 17.605
-181.366, 14.698, 7.926, 17.638
-181.366, 14.433, 7.953, 17.671
-181.365, 14.168, 7.980, 17.704
-181.365, 13.901, 8.006, 17.737
-181.364, 13.633, 8.033, 17.770
-181.364, 13.365, 8.060, 17.803
-181.363, 13.096, 8.087, 17.836
-181.363, 12.825, 8.114, 17.869
-181.362, 12.554, 8.141, 17.902
-181.361, 12.282, 8.168, 17.935
-181.361, 12.009, 8.196, 17.968
-181.360, 11.735, 8.223, 18.001
-181.360, 11.460, 8.250, 18.034
-181.359, 11.185, 8.278, 18.067
-181.358, 10.908, 8.305, 18.100
-181.358, 10.631, 8.333, 18.133
-181.357, 10.352, 8.360, 18.166
-181.357, 10.073, 8.388, 18.199
-181.356, 9.792, 8.416, 18.232
-181.355, 9.511, 8.444, 18.265
-181.355, 9.229, 8.472, 18.298
-181.354, 8.946, 8.500, 18.331
-181.354, 8.662, 8.528, 18.364
-181.353, 8.377, 8.557, 18.397
-181.352, 8.091, 8.585, 18.430
-181.352, 7.804, 8.614, 18.463
-181.351, 7.516, 8.643, 18.496
-181.350, 7.227, 8.671, 18.529
-181.350, 6.938, 8.700, 18.562
-181.349, 6.647, 8.729, 18.595
-181.348, 6.355, 8.758, 18.628
-181.347, 6.062, 8.788, 18.661
-181.347, 5.769, 8.817, 18.694
-181.346, 5.474, 8.846, 18.727
-181.345, 5.178, 8.876, 18.760
-181.345, 4.882, 8.905, 18.793
-181.344, 4.584, 8.935, 18.826
-181.343, 4.286, 8.965, 18.859
-181.342, 3.986, 8.995, 18.892
-181.342, 3.686, 9.025, 18.925
-181.341, 3.384, 9.055, 18.958
-181.340, 3.081, 9.085, 18.991
-181.339, 2.778, 9.115, 19.024
-181.338, 2.473, 9.145, 19.057
-181.338, 2.168, 9.176, 19.090
-181.337, 1.861, 9.206, 19.123
-181.336, 1.553, 9.237, 19.156
-181.335, 1.245, 9.268, 19.189
-181.334, 0.935, 9.299, 19.222
-181.334, 0.624, 9.330, 19.255
-181.333, 0.312, 9.361, 19.288
-181.332, -0.000, 9.392, 19.321
-181.331, -0.314, 9.423, 19.354
-181.330, -0.629, 9.454, 19.387
-181.329, -0.945, 9.486, 19.420
-181.328, -1.262, 9.518, 19.453
-181.327, -1.580, 9.549, 19.486
-181.327, -1.899, 9.581, 19.519
-181.326, -2.220, 9.613, 19.552
-181.325, -2.541, 9.645, 19.585
-181.324, -2.863, 9.677, 19.618
-181.323, -3.187, 9.710, 19.651
-181.322, -3.511, 9.742, 19.684
-181.321, -3.837, 9.775, 19.717
-181.320, -4.163, 9.807, 19.750
-181.319, -4.491, 9.840, 19.783
-181.318, -4.820, 9.873, 19.816
-181.317, -5.150, 9.906, 19.849
-181.316, -5.481, 9.939, 19.882
-181.315, -5.813, 9.972, 19.915
-181.314, -6.146, 10.005, 19.948
-181.313, -6.480, 10.039, 19.981
-181.312, -6.816, 10.072, 20.014
-181.311, -7.153, 10.106, 20.047
-181.310, -7.490, 10.140, 20.080
-181.309, -7.829, 10.173, 20.113
-181.308, -8.169, 10.207, 20.146
-181.307, -8.510, 10.241, 20.179
-181.305, -8.852, 10.276, 20.212
-181.304, -9.196, 10.310, 20.245
-181.303, -9.540, 10.344, 20.278
-181.302, -9.886, 10.379, 20.311
-181.301, -10.233, 10.413, 20.344
-181.300, -10.581, 10.448, 20.377
-181.299, -10.930, 10.483, 20.410
-181.298, -11.280, 10.518, 20.443
-181.296, -11.632, 10.553, 20.476
-181.295, -11.985, 10.588, 20.509
-181.294, -12.338, 10.623, 20.542
-181.293, -12.693, 10.659, 20.575
-181.292, -13.050, 10.695, 20.608
-181.290, -13.407, 10.730, 20.641
-181.289, -13.766, 10.766, 20.674
-181.288, -14.125, 10.802, 20.707
-181.287, -14.486, 10.838, 20.740
-181.285, -14.848, 10.874, 20.773
-181.284, -15.212, 10.911, 20.806
-181.283, -15.576, 10.947, 20.839
-181.281, -15.942, 10.984, 20.872
-181.280, -16.309, 11.020, 20.905
-181.279, -16.678, 11.057, 20.938
-181.277, -17.047, 11.094, 20.971
-181.276, -17.418, 11.131, 21.004
-181.275, -17.790, 11.168, 21.037
-181.273, -18.163, 11.205, 21.070
-181.272, -18.538, 11.243, 21.103
-181.271, -18.913, 11.280, 21.136
-181.269, -19.290, 11.318, 21.169
-181.268, -19.668, 11.355, 21.202
-181.266, -20.048, 11.393, 21.235
-181.265, -20.429, 11.432, 21.268
-181.263, -20.811, 11.470, 21.301
-181.262, -21.194, 11.508, 21.334
-181.260, -21.579, 11.547, 21.367
-181.259, -21.964, 11.586, 21.400
-181.258, -22.352, 11.625, 21.433
-181.256, -22.740, 11.664, 21.466
-181.254, -23.130, 11.704, 21.499
-181.253, -23.521, 11.743, 21.532
-181.251, -23.914, 11.783, 21.565
-181.250, -24.307, 11.823, 21.598
-181.248, -24.702, 11.863, 21.631
-181.247, -25.099, 11.903, 21.664
-181.245, -25.497, 11.943, 21.697
-181.243, -25.896, 11.983, 21.730
-181.242, -26.296, 12.024, 21.763
-181.240, -26.698, 12.064, 21.796
-181.239, -27.101, 12.105, 21.829
-181.237, -27.506, 12.145, 21.862
-181.235, -27.912, 12.186, 21.895
-181.233, -28.319, 12.227, 21.928
-181.232, -28.728, 12.268, 21.961
-181.230, -29.137, 12.309, 21.994
-181.228, -29.549, 12.351, 22.027
-181.227, -29.962, 12.392, 22.060
-181.225, -30.376, 12.434, 22.093
-181.223, -30.791, 12.475, 22.126
-181.221, -31.208, 12.517, 22.159
-181.219, -31.626, 12.559, 22.192
-181.217, -32.046, 12.602, 22.225
-181.216, -32.467, 12.644, 22.258
-181.214, -32.890, 12.686, 22.291
-181.212, -33.314, 12.729, 22.324
-181.210, -33.739, 12.772, 22.357
-181.208, -34.166, 12.815, 22.390
